commit	local_score	dacon_score	status	description
season워크로드원인규명	766.04(without,biased)/780.65(with,biased)/753.48(without,unbiased)/754.42(with,unbiased)		resolved(PR#10기각)	PR #10 실측역전(-11.03) 원인 규명 완료. v8-nn실험(위 행)에서 확립한 "OOF만으로 가중치/보정순서 선택, 홀드아웃은 평가 전용" 게이트를 이 피처에도 그대로 적용 — experiment/v8-season-workload의 build_features()/kfold_oof()를 문자단위로 그대로 재현한 독립 스크립트로 without/with 두 설정을 처음부터 재학습(LGB+CB 재적합 + 5-fold KFold OOF 재생성, 총 11.8분). ①기존 방식(2024 홀드아웃에서 직접 최댓값 선택): without 766.04(blend_then_calibrate/w=0.50) vs with 780.65(calibrate_then_blend/w=0.40) — diff +14.60, 원래 채택 근거였던 +14.61과 거의 정확히 일치해 재현 스크립트 자체의 정확성부터 확인됨. ②독립 게이트(가중치는 1.22M행 OOF 원시 블렌드 Brier로만 선택, order=blend_then_calibrate 고정, 2024는 평가에만 사용): without 753.48(w=0.90) vs with 754.42(w=0.90) — diff +0.94, 노이즈 수준으로 거의 소멸. 즉 로컬 +14.61의 93%(13.66점)가 "이 피처를 추가하면 그리드 서치가 2024 홀드아웃의 특정 노이즈에 더 잘 맞는 조합(calibrate_then_blend/w=0.40)을 우연히 찾아낼 수 있었다"는 순수 홀드아웃 과적합이었고, 진짜 일반화 신호는 +0.94뿐이었음 — 진짜 효과가 0에 가까운 피처는 2024/2025라는 서로 다른 시즌의 노이즈만으로도 쉽게 부호가 뒤집힐 수 있으므로, 실측 -11.03과 완전히 부합하는 설명. 부수 확인(가설1/2): make_pitcher_load_baseline()의 shift(1) 공식 자체는 리크 없음 재확인 (career-fallback 경로 값 분포가 per_season 경로 값 분포와 통계적으로 유사, season_pitch_load_est는 asof_pitcher_n의 시즌 간 누적 드리프트를 의도대로 상쇄해 연도별로 안정적/정상적 — 계산 버그 아님). 다만 시즌별 "완전 신규 투수" 비율은 13.80%(2023)~30.90%(2020)로 해마다 변동이 커서(2024=20.72%), 2025의 실제 콜드스타트 구성이 2024와 다를 위험(가설2)은 국지적으로 배제되지 않으나, 가설3만으로도 -13.6점 규모의 로컬 과대평가가 이미 설명되므로 주원인으로 특정하지 않음. 결론: PR #10 기각 확정, same_hand(v5)/v8-nn(v8-nn) 전례와 동일 규율로 코드 미채택 유지(브랜치는 문서·재현스크립트 참고용으로 보존). 프로젝트 전체 교훈: "홀드아웃에서 직접 그리드서치 최댓값을 고르는 가중치/보정순서 선택은 과적합 위험이 크다"는 v8-nn실험에 이어 두 번째로 독립 확증됨 — 리스크는 모델-포함 여부(상위집합 격자, v8-nn)뿐 아니라 피처-포함 여부(동일 크기 격자, 이번 건)에도 동일하게 적용됨. v7(882.11)/li(895.44)는 이미 실측으로 확정된 채택 상태라 재검증 대상 아님(다만 v5/v7 자체의 블렌드 가중치도 같은 방식으로 선택됐다는 점은 낮은 우선순위 후속 과제로 memory에 이미 기록돼 있음).
v9-middle-trend실험	774.07(without,biased)/764.89(with,biased)/761.61(without,unbiased)/737.88(with,unbiased)		discard	experiment/v9-middle-trend: build_features()에 pitcher_middle_trend(=asof_pitcher_prev1_game_middle_rate - asof_pitcher_prev5_game_middle_rate)/pitcher_middle_trend3(prev3-prev5) 2개 추가 시도 — 기존 pitcher_recent_trend/pitcher_recent_trend3(success_rate 버전)과 동일 패턴을 middle_rate 계열에 적용. PR #10(시즌워크로드) 사건 이후 도입된 이중게이트 절차를 처음부터 적용: 독립 진단 스크립트(docs/middle_trend_unbiased_gate_diagnostic.py, main 5a68620/v8-li 기준 build_features()를 문자단위로 재현)로 without/with 재학습(LGB+CB 재적합 + 5-fold KFold OOF, 총 19.8분). (A)기존방식(2024 홀드아웃 직접 최댓값 선택): without 774.07(calibrate_then_blend/w=0.45) vs with 764.89(blend_then_calibrate/w=0.40) — diff -9.18. (B)독립게이트(가중치는 OOF 원시 블렌드 Brier로만 선택, order=blend_then_calibrate 고정, 2024는 평가 전용): without 761.61(w=0.75) vs with 737.88(w=0.90) — diff -23.73. 두 게이트 모두 뚜렷한 음수로, season-workload 사례((A)+14.61인데 (B)+0.94로 소멸)와 달리 (A)조차 이미 악화라 애매함의 여지가 없음. solo 모델 점수도 둘 다 크게 하락(LGB 720.59->709.79, CB 740.89->720.42) — 가중치선택 편향이 아니라 피처 자체가 개별모델 성능을 깎는다는 뜻. 가설: middle_rate 기저율(~15%)이 success_rate(~52%)보다 훨씬 희소해 prev1/3/5 차분이 신호보다 노이즈에 가깝고, 기존 matchup_middle_diff와 부분 중복돼 분산만 키움(원인 확정은 범위 밖). 결론: 기각 확정. same_hand(v5)/v8-nn 전례와 동일 규율로 코드를 build_features() 3파일(train.ipynb/inference.ipynb/script.py) 어디에도 반영하지 않음(main과 문자단위 동일, diff 없음) — 진단 스크립트 단계에서 걸러져 노트북 재실행/제출 zip 빌드/Dacon 제출 자체가 불필요했음. README.md에 "v9" 절 + 실험이력 표 행 추가, 브랜치 push, PR 없음(v8-nn 전례와 동일 — 머지할 코드가 없음).
21	v9-reverse-rate실험	774.07(without,biased)/771.87(with,biased)/761.61(without,unbiased)/745.51(with,unbiased)		discard	experiment/v9-reverse-rate: build_features()에 asof_pitcher_reverse_rate("이 투구 직전까지 이 투수의 의도 반대성 투구 비율", 대회 라벨의 공식 실패조건 중 하나인 "포수 요구 방향과 반대" 개념과 가장 가까운 원본 컬럼) 파생 3개 추가 시도 — pitcher_reverse_rate_smooth(=shrink(asof_pitcher_reverse_rate, asof_pitcher_n, k=30), 기존 pitcher_success_rate_smooth와 동일 패턴), reverse_rate_li(=smooth*li, 고레버리지에서 반대투구 성향 스파이크 가설), reverse_rate_full_count(=smooth*is_full_count, 풀카운트 압박 가설). PR #10 이후 도입된 이중게이트 절차를 처음부터 적용: 독립 진단 스크립트(docs/reverse_rate_unbiased_gate_diagnostic.py, main eea05e5/v8-li 기준 build_features()를 문자단위로 재현)로 without/with 재학습(LGB+CB 재적합 + 5-fold KFold OOF, 총 21.4분). (A)기존방식(2024 홀드아웃 직접 최댓값 선택): without 774.07(calibrate_then_blend/w=0.45) vs with 771.87(calibrate_then_blend/w=0.40) — diff -2.20. (B)독립게이트(가중치는 OOF 원시 블렌드 Brier로만 선택, order=blend_then_calibrate 고정, 2024는 평가 전용): without 761.61(w=0.75) vs with 745.51(w=0.90) — diff -16.09. 두 게이트 모두 음수 — season-workload 사례((A)+14.61인데 (B)+0.94로 소멸)보다도 신호 부재가 더 명확한 케이스, (A)조차 처음부터 음수라 애매함의 여지가 없음. solo 모델 점수도 둘 다 하락(LGB 720.59->708.18, CB 740.89->737.98). 원본 asof_pitcher_reverse_rate 컬럼 자체는 이미 FEATURES에 포함돼 모델이 직접 학습 중이므로, 이 결과는 "smooth/li/full_count 파생이 추가 신호를 못 준다"는 뜻이지 원본 컬럼의 유용성을 부정하는 것은 아님. 결론: 기각 확정. same_hand(v5)/v8-nn/v9-middle-trend 전례와 동일 규율로 코드를 build_features() 3파일(train.ipynb/inference.ipynb/script.py) 어디에도 반영하지 않음(main과 문자단위 동일) — 진단 스크립트 단계에서 걸러져 노트북 재실행/제출 zip 빌드/Dacon 제출 자체가 불필요했음. README.md에 "v9" 절 + 실험이력 표 행 추가, CLAUDE.md에 기각 요약 추가, docs/reverse_rate_unbiased_gate_diagnostic.py 커밋, 브랜치 push, PR 없음(머지할 코드가 없음).
deaf54f	774.07(biased)/761.61(unbiased)	879.1639168871	discard(PR#11 close)	v9-oof-default-weight: main(eea05e5=v7+li) 기준, 피처 변경 없음. notebooks/train.ipynb 섹션 6/7의 블렌드가중치/보정순서 기본 선택 방식을 홀드아웃 직접 최대화(search_df.loc[idxmax()], biased)에서 KFold(shuffle=True,5-fold) OOF 원시 블렌드 Brier만 사용(order=blend_then_calibrate 고정, 홀드아웃은 평가 전용, unbiased)으로 전환 — PR #10(시즌워크로드) 실측역전 사건에서 확립된 진단 절차(season_load_unbiased_gate_diagnostic.py)를 진단 도구에서 파이프라인 기본값으로 승격. build_features()/kfold_oof()는 main과 문자단위 동일(diff 없음), inference.ipynb/script.py도 아티팩트 스키마 불변이라 무수정(diff 없음). 로컬 2024 홀드아웃: biased 774.07(calibrate_then_blend/w=0.45) vs unbiased 761.61(blend_then_calibrate/w=0.75), -12.46 — v9-middle-trend/v9-reverse-rate 진단에서 독립 재현된 동일 기준선(774.07/761.61)과 정확히 일치해 재현성 확인됨. 이 로컬 하락 자체는 unbiased 절차가 실측에서 더 낫다는 근거도 나쁘다는 근거도 아님(이슈#4/PR#10에서 이미 두 번 로컬-실측 반대방향 확인됨) — 판단은 Dacon 재제출 실측 점수로만. submissions/v9_oof_weight.zip 빌드, 5행+245,789행(1.73초) 스트레스테스트 통과. 브랜치 push, PR 오픈 예정, 채택/기각 보류(현재 실측 확정 기준선: li/biased 895.4429039277).
 [실측반영 2026-08-25] Dacon 제출: 879.1639168871 — li(895.44) 대비 -16.28, 심지어 li 없는 v7(882.11)보다도 낮음. 로컬(-12.46)과 방향 일치 — 이번엔 로컬/실측이 서로를 뒷받침해 "홀드아웃 직접 최대화가 OOF-only 선택보다 나쁠 것"이라는 가설이 이 피처셋(li 포함)에서는 실측으로 기각됨. 언바이어스 게이트는 피처 채택/기각 판정 도구(시즌워크로드 사례)로는 유효하나, 파이프라인 기본 가중치 선택 방식 자체를 대체하는 용도로는 부적합함이 확인됨 — main은 기존 방식(홀드아웃 직접 최대화) 유지. PR #11 close(머지 안 함).
v9-count-lean실험	774.07(without,biased)/757.25(with,biased)/761.61(without,unbiased)/744.49(with,unbiased)		discard	experiment/v9-pitcher-count-lean: build_features()에 pitcher_count_lean(=투수x(balls_before,strikes_before) 셀의 smoothed control_success 평균 - pitcher_success_rate_smooth, xCTRL 문헌근거의 "투수 자기 평소 대비 카운트별 이탈도") 1개 추가 시도. train.csv 자기 자신의 target을 (pitcher_id, count)로 집계하는 첫 사례라 기존 tk_lookup류(별도 파일 집계)보다 훨씬 직접적인 리크 경로 -> 두 갈래 leak-safe 설계: (1) X_train(모델이 직접 fit)은 kfold_oof()가 나중에 쓸 것과 동일한 KFold(shuffle=True,5-fold,seed=42) 분할을 미리 적용해 각 fold를 자기 fold 제외 나머지 4개로만 집계(add_pitcher_count_lean_kfold, kf.split()은 데이터값이 아니라 행개수/순서에만 의존해 fold배정 일치 보장), (2) X_val(2024 홀드아웃, 모델이 절대 안 보는 행)은 season<=2023(=X_train 원본행)만으로 만든 정적 lookup 병합(add_pitcher_count_lean_static, TK_LOOKUP_VAL과 동일 원칙). 두 경로 모두 셀 비율을 그 행의 pitcher_success_rate_smooth로 재수축(k=30, 2단계 계층: global_mean<-투수전체평균<-투수x카운트셀). 버킷은 (pitcher_id,balls_before,strikes_before) 채택 -- outs_before까지 3중 키는 중앙값 21행/30퍼센트가 10행 미만으로 과다분할, 2중 키는 season<=2023 기준 중앙값49/평균147.5행(10행미만 21.9퍼센트)으로 표준볼카운트(12종) 단위라 적절. 독립 진단 스크립트(docs/pitcher_count_lean_unbiased_gate_diagnostic.py, main eea05e5/v8-li 기준 build_features() 문자단위 재현)로 이중게이트 실행(LGB+CB 재적합 + 5-fold KFold OOF, 총 22.9분). (A)기존방식(2024 홀드아웃 직접 최댓값): without 774.07(calibrate_then_blend/w=0.45) vs with 757.25(calibrate_then_blend/w=0.55) -- diff -16.81. (B)독립게이트(가중치는 OOF 원시 블렌드 Brier로만 선택, order=blend_then_calibrate 고정, 2024는 평가전용): without 761.61(w=0.75) vs with 744.49(w=0.90) -- diff -17.12. 두 게이트 모두 뚜렷한 음수이고 크기도 비슷(-16.81/-17.12) -- season워크로드 사례((A)+14.61인데 (B)+0.94로 소멸)와 다른 패턴으로, (A)조차 이미 음수라 "홀드아웃 과적합" 설명이 아니라 두 게이트가 서로를 검증하는 모양. 리크 의심 기준("(A) 큰 양수 + (B) 작거나 음수")에도 해당 안 됨 -- 리크는 보통 낙관적으로 부풀리는데 여기선 두 갈래 다 일관되게 나쁨. solo 점수도 둘 다 하락(LGB 720.59->714.63(-5.96), CB 740.89->707.01(-33.88, 심각)). LGB 피처중요도로는 pitcher_count_lean이 86개 중 2위(raw=417)로 매우 높은데도 홀드아웃은 악화 -> 모델이 이 피처에 강하게 의존하도록 학습되지만 일반화 실패. 원인은 리크보다는 fold분할로 더 줄어든 셀 표본(중앙값~40행/셀)에서 특히 CatBoost가 노이즈에 가까운 신호에 과의존하도록 유도됐을 가능성(원인 확정은 범위 밖). 결론: 기각 확정. same_hand(v5)/v8-nn/v9-middle-trend/v9-reverse-rate 전례와 동일 규율로 코드를 build_features() 3파일(train.ipynb/inference.ipynb/script.py) 어디에도 반영하지 않음(main과 문자단위 동일, diff로 확인) -- 진단 스크립트 단계에서 걸러져 노트북 재실행/제출 zip 빌드/Dacon 제출 자체가 불필요했음. README.md에 "v9" 절 + 실험이력 표 행 추가, CLAUDE.md에 기각 요약 추가, docs/pitcher_count_lean_unbiased_gate_diagnostic.py 커밋, 브랜치 push, PR 없음(머지할 코드가 없음).
v10-venn-abers실험	774.07(isotonic,w=0.45,calibrate_then_blend)/773.98(venn_abers,같은 w/order,-0.09)/770.60(isotonic,blend_then_calibrate)/770.92(venn_abers,같은 w/order,+0.32)		discard	experiment/v10-venn-abers-calibration: 2026-01 arXiv 벤치마크(arXiv:2601.19944, TabArena-v0.1)가 isotonic/Platt이 강력한 tabular 모델에서 proper scoring을 오히려 악화시킬 수 있다고 지적하며 Venn-Abers가 log-loss 감소폭 1위였다는 근거로, main(eea05e5=v8-li) 기준 IsotonicRegression을 venn_abers.VennAbers(PyPI, MIT 라이선스, v1.5.4)로 직접 교체하는 실험. 피처 변경 없음(v9류와 달리 without/with 이중게이트가 아니라 "같은 (w_lgb,order)에서 보정기만 바꾸면?" 직접 비교). 독립 진단 스크립트(docs/venn_abers_calibration_diagnostic.py, main eea05e5 기준 build_features()/kfold_oof() 문자단위 재현, LGB+CB 재적합+5-fold KFold OOF, 15.3분)로 확인. isotonic idxmax(main과 동일 절차) 재현이 774.07로 기존 확정치와 정확히 일치해 스크립트 정확성 확인. Venn-Abers idxmax 최댓값 773.98(order=calibrate_then_blend, w=0.45 — 선택된 조합 자체는 isotonic과 동일)로 사실상 동점. apples-to-apples(w_lgb=0.45 고정, main/li 실측 확정값): blend_then_calibrate에서 isotonic 770.60 vs venn_abers 770.92(+0.32), calibrate_then_blend에서 isotonic 774.07 vs venn_abers 773.98(-0.09) — 두 순서 다 ±0.3점대로 이 프로젝트의 최소 신호 크기(same_hand -1.41, li +8.03)보다 한 자릿수 이상 작은 노이즈 수준. 병리적 붕괴 여부도 확인: Venn-Abers 예측값 고유개수가 isotonic보다 오히려 더 많음(calibrate_then_blend에서 unique 3445~3472 vs 2663~2691) — 확률이 소수 구간으로 뭉개지는 문제 없음, [0,1] 범위/분포 정상. Venn-Abers 사용법 노트: venn_abers.VennAbers.fit(p_cal,y_cal)/predict_proba(p_test)는 (n,2) 형태([1-p,p])를 기대하고 predict_proba는 (p_prime,p0_p1) 반환 — p0_p1은 논문(Vovk et al. 2015) Section 4의 멀티확률 구간, p_prime[:,1]이 이미 패키지가 p1/(1-p0+p1) 공식으로 합친 단일 점확률이라 그대로 사용. IsotonicRegression(out_of_bounds="clip")과 동일한 fit(scores_1d,y)/predict(scores_1d) 인터페이스로 감싼 얇은 어댑터(VennAbersScoreCalibrator)로 기존 보정 자리에 그대로 꽂을 수 있게 구현, joblib.dump 피클링도 별도 확인(클로저/람다 없이 numpy 배열만 보유 — 문제없이 picklable, 실제 아티팩트 저장은 기각으로 인해 미실시). 결론: 기각 확정. notebooks/train.ipynb, notebooks/inference.ipynb, src/script.py, src/requirements.txt 전부 main과 문자단위 동일(diff 없음, 애초에 진단 스크립트만 작성했고 노트북은 손대지 않았음). README.md에 "v10" 절 + 실험이력 표 행 추가, CLAUDE.md에 기각 요약 추가, docs/venn_abers_calibration_diagnostic.py + 결과 CSV 커밋, 브랜치 push, PR 없음(머지할 코드가 없음).
8791eb5	774.07(기존W_GRID재현)/770.21(로지스틱스태킹+isotonic,기각)/782.47(로지스틱스태킹,raw,채택)	904.9288858132	keep(PR#12 merged)	v10-logistic-stacking: main(eea05e5=v8-li) 기준, 결합 단계(섹션 6/7)를 W_GRID(0.10~0.90,17개)x보정순서(2개)=34개 조합 홀드아웃 직접 idxmax() 격자탐색+isotonic 보정 블렌드에서 LightGBM/CatBoost KFold OOF 예측 2개를 피처로 하는 sklearn.linear_model.LogisticRegression 메타러너(스태킹)로 교체. 오늘 리서치(스태킹 안전성, scikit-learn StackingClassifier 문서+arXiv:2605.18696) 근거: (1) 메타러너는 반드시 OOF(in-sample 아닌) 예측으로 학습해야 하는데 kfold_oof()가 정확히 그 조건을 만족, (2) 피처 2개뿐인 선형 메타러너는 표현력이 낮아(비음수/합=1 제약 없는 가중블렌드의 일반화판) 과적합 위험이 낮다고 판단해 calibration에 쓰는 OOF를 메타러너 학습에도 재사용(별도 중첩 KFold 없음 — GBM 등 고용량 메타러너였다면 판단이 달랐을 것), (3) "선형 스태킹은 베이스보다 날카로운 출력을 내 보정을 해칠 수 있다"는 가설을 검증하려 raw/isotonic-on-top 둘 다 실험. 독립 진단 스크립트(docs/logistic_stack_diagnostic.py, main eea05e5 기준 train.ipynb 섹션1~6 문자단위 재현, LGB+CB재적합+5-fold KFold OOF, 14.4분)로 2024 홀드아웃 3갈래 비교: 기존(W_GRID+isotonic, 재현) 774.07 vs 로지스틱스태킹 raw 782.47(+8.40) vs 로지스틱스태킹+isotonic추가 770.21(-3.86, 기존보다도 낮음). raw가 가장 좋았고 isotonic을 더 얹으면 오히려 악화되는 역설이 실측됨(가설 arXiv:2605.18696과 일치하는 방향) — li(+8.03)와 비슷한 크기의 뚜렷한 양의 신호로 raw 스태킹 채택. 메타러너 계수 coef=[2.327,2.272]/intercept=-2.313(검증)·coef=[2.300,2.255]/intercept=-2.287(전체데이터)로 극단적이지 않고 대칭에 가까움(기존 W_GRID가 고른 w_lgb=0.45와 방향 일치). 채택 결정에 따라 notebooks/train.ipynb 섹션6/7, notebooks/inference.ipynb, src/script.py 3곳 모두 반영 — 아티팩트 스키마가 blend_w_lgb/calibration_mode/calibrator/calibrator_lgb/calibrator_cb에서 stack_model(fitted LogisticRegression) 단일 키로 교체됨(clean redesign, 구 키 전부 제거). 전체 재학습 재현: 검증 782.47 그대로 재현(메타러너 계수 거의 동일), 5행+245,789행(부트스트랩 리샘플 스트레스, 3.1초, 10분 예산 내) 스모크테스트 통과, zip 압축해제 후 flat 레이아웃(./model,./data,./output)에서도 동일 5행 결과 재현 확인. submissions/v10_logistic_stack.zip(22자, 30자 제한 이내) 빌드 완료. 참고: predict_proba 호출 시 RuntimeWarning(divide by zero/overflow/invalid value encountered in matmul)이 fit/predict 양쪽에서 반복 관찰됐으나, p_lgb/p_cb/최종 예측값 모두 finite/[0,1]범위 확인(NaN 0건, 범위이탈 0건) — 이 Mac의 Apple Accelerate BLAS 백엔드에서 흔히 보고되는 벤치마크성 스퓨리어스 경고로 판단(numpy 커뮤니티에 알려진 이슈), 실제 계산 결과에는 영향 없음을 직접 검증. 로컬 개선이 실제 리더보드에서 반대로 나타난 전례(이슈#4/v4~v6, v8-season)가 이미 여러 번 있으므로 이번 로컬 개선(+8.40)도 강한 정황 증거로만 받아들이고 Dacon 재제출 실측 점수 확인 전까지는 머지하지 않는다. README.md에 "v10" 절 + 실험이력 표 행 추가, CLAUDE.md "Current pipeline" 절 갱신(stack_model 스키마 반영), 브랜치 push, PR 오픈 예정(머지는 실측 확인 후).
 [실측반영 2026-08-25] Dacon 제출: 904.9288858132 — li(895.44) 대비 +9.49, 로컬 예측(+8.40)과 방향·크기 거의 일치(로컬-실측 완전 정합, li 때와 같은 신뢰할 만한 패턴). 이 프로젝트 역대 최고 실측 점수. PR #12 merge 완료(merge commit 440744f), main이 로지스틱회귀 스태킹(stack_model 스키마) 기준으로 전환됨. 같은 날 함께 실측한 v9-oof-default-weight(가중치선택 방식 변경, -16.28로 기각)와 대비되는 결과가 흥미로운 시사점을 준다: PR#11처럼 "OOF에서 격자탐색으로 가중치 선택"은 실패했지만, 이 스태킹은 격자탐색이 아니라 로지스틱회귀 MLE로 OOF에 직접 적합(2-way raw/isotonic-on-top 비교만 홀드아웃에서 함, 34-way 격자탐색 아님)한 것이 성공 요인으로 보임 — "OOF-only 선택" 자체가 만능이 아니라, 선택 메커니즘의 성격(넓은 격자탐색 vs 저용량 모델의 원칙적 적합)이 더 중요하다는 교훈으로 기록.
v11-id-categorical실험	782.47(without,ID=숫자,재현)/599.31(with,ID=범주형)		discard	experiment/v11-id-categorical: pitcher_id/batter_id/pitcher_team_id/batter_team_id(카디널리티 792/830/13/13, 익명화 ID 코드) 4개를 기존 CAT_COLS([top_bottom,game_type,base_state])와 동일 패턴(LightGBM .astype("category")/CatBoost .astype(str)+cat_idx 확장)으로 범주형 전환 시도 — build_features()는 무수정, 기존 원본 컬럼 dtype/처리방식만 변경. 독립 진단 스크립트(docs/id_categorical_diagnostic.py, main 440744f=v10 로지스틱스태킹 기준 train.ipynb 섹션1~6 문자단위 재현)로 실제 전체 train.csv(1,475,092행)를 without/with 각각 재학습(LGB+CB 재적합+5-fold KFold OOF, 총 17.4분)해 2024 홀드아웃 비교. without 재현치(LGB 720.59/CB 740.89/스태킹 782.47)가 v10 실측 확정 수치와 정확히 일치해 스크립트 정확성 확인. with는 세 지표 모두 큰 폭 악화: LGB 단독 720.59->294.38(절반 이하 붕괴), CB 단독 740.89->669.18, 로지스틱스태킹(raw) 782.47->599.31(-183.15, 이 프로젝트 역대 최대 음수 ablation). LightGBM best_iteration도 164->119로 줄어 early stopping이 과적합을 일찍 감지했지만 그 체크포인트조차 훨씬 나빴음. 가설(원인확정 범위밖): ID를 범주형으로 노출하면 모델이 "이 선수 ID의 2019~2023 평균 성공률"을 암기하는 지름길이 생기고, 이는 시간이 지난 2024 홀드아웃에 잘 일반화되지 않음 — 숫자형 유지시 임계값 분기만 가능해 이런 암기가 어려움. unseen-category(훈련 어휘에 없는 ID) 처리는 두 라이브러리 모두 크래시 없이 정상 동작 확인(LightGBM: unseen이 코드 -1(=결측)로 재매핑, 명시적 NaN 대입시와 예측이 최대절대오차 0.0으로 완전 일치 직접검증; CatBoost: 서로 다른 unseen 문자열 4종 모두 예측이 완전히 동일 — 값과 무관한 고정 prior로 대체되는 것으로 보임 직접검증) — 결정에는 영향 없었으나 검증 항목이라 기록. 결론: 기각 확정, Dacon 재제출 불필요할 만큼 명확한 음수. build_features()/CAT_COLS를 notebooks/train.ipynb, notebooks/inference.ipynb, src/script.py 어디에도 반영하지 않음(진단 스크립트만 작성, 노트북/스크립트는 main과 문자단위 동일, diff 없음). README.md에 "v11" 절 추가, CLAUDE.md에 기각 요약 추가, docs/id_categorical_diagnostic.py 커밋, 브랜치 push, PR 없음(머지할 코드가 없음, v9류/v10-venn-abers 전례와 동일 규율).
v12-shap-prune실험	1890.19(38피처,OOF)/1886.66(37피처,OOF)		discard	experiment/v12-shap-pruning: ShapRFECV 스타일 반복 SHAP 가지치기 시도 (docs/shap_prune_diagnostic.py, main 440744f=v10-stack 기준 재현). kfold_oof()의 LightGBM 5-fold 모델에서 native SHAP(pred_contrib, 폴드별 OOF 5만행 샘플)로 38개 파생 피처 중요도를 뽑아 최하위부터 하나씩 제거, 2024 홀드아웃은 전혀 안 보고 OOF 자체에 로지스틱 스태킹을 채점(OOF Brier)해 지금까지 최고 기록보다 떨어지는 첫 지점에서 멈추는 순차적 정지 규칙 사용(v8-nn/season-workload의 "홀드아웃 직접 격자탐색 과적합" 교훈 반영, 그리드서치 argmax 아님). 결과: baseline(38피처) OOF score 1890.19 -> 최하위 SHAP 피처 pitcher_cold_start(|shap|≈0) 제거 시 1886.66으로 첫 시도부터 즉시 악화(-3.53) -> 제거 0개로 종료, 최종 부분집합이 기존 38피처 그대로라 홀드아웃 재확인도 불필요(기존 782.47과 동일). 해석: 트리 기반 SHAP 중요도가 거의 0인 피처도 전체 파이프라인(특히 CatBoost+로지스틱 스태킹) 관점에서는 여전히 기여하고 있었던 것으로 보임 -> ING뱅크 사례(110->60개, AUC 소폭 개선)와 달리 이 프로젝트의 38개 피처는 이미 개별 ablation 게이트를 통과한 것만 남아 있어 잉여 중복이 없었던 것으로 추정. build_features()/FEATURES/ALL_FEATURES 무변경(train.ipynb/inference.ipynb/script.py 세 곳 모두 diff 없음), 진단 스크립트는 재현용으로 보존. README.md "v12" 절 + CLAUDE.md 한 단락 추가, docs-only 커밋 push, PR 없음(머지할 코드가 없음, v9-middle-trend 전례와 동일 규율).
v12-seedbag	782.47(단일시드42재현)/780.32(시드배깅3개,-2.14)		discard	experiment/v12-seed-bagging: main(440744f=v10 로지스틱스태킹) 기준, 오늘 리서치(RESEARCH/trackman_teacher_ensemble_20260825_004206/outputs/02_brier_objective_seedbag.md "시드 앙상블/배깅" 절, AutoGluon 프로덕션 스태킹 설계 Erickson et al. 2020 arXiv:2003.06505 근거)가 제안한 kfold_oof() 시드배깅 시도 — "최종 블렌드만 시드평균하는 게 아니라 kfold_oof() 단계 자체를 여러 시드로 반복해서 그 OOF 예측(lgb_oof/cb_oof)을 메타러너에 들어가기 전에 평균"하는 설계. SEEDS=[42,43,44](3개) 채택 — kfold_oof()에 seed 인자를 추가해 KFold 분할 random_state뿐 아니라 LGB/CB 모델 자신의 random_state도 함께 결정하도록 일반화(v10까지는 분할만 바뀌고 모델은 LGB_PARAMS/CB_PARAMS에 박힌 42로 고정 — "패스 전체를 반복"하려면 둘 다 바뀌어야 함), seed_bagged_oof()가 SEEDS 각각으로 kfold_oof() 전체를 반복해 lgb_oof/cb_oof를 시드 평균한 뒤 로지스틱 회귀 메타러너 재학습. 스태킹 입력으로 실제 배포될 예측(섹션 7 최종 베이스러너)도 SEEDS 개수만큼 학습해 predict_proba를 평균하는 방식으로 통일 — 검증단계(섹션4/5)의 val_pred_lgb/val_pred_cb도 동일하게 시드평균해 홀드아웃 점수가 end-to-end로 정직하도록 설계. 독립 진단 스크립트(docs/seed_bag_diagnostic.py, main 440744f 기준 train.ipynb 섹션1~6 문자단위 재현)로 2024 홀드아웃 검증(검증단계만 36회 모델학습, 55.0분 소요): (A)단일시드(42) 재현 OOF brier=0.244083(score=1975.62), 홀드아웃 782.47 — v10 실측 확정치와 정확히 일치해 스크립트 정확성 확인. (B)시드배깅(3개) OOF brier=0.244071(score=1980.55), 홀드아웃 780.32 — diff -2.14. OOF 자체는 개선(+4.93)됐는데 홀드아웃은 반대방향으로 악화 — v9-oof-default-weight(PR#11)에서 이미 확인된 "OOF 신호와 실제 일반화 방향이 항상 일치하지 않는다"는 패턴 재현. 크기는 same_hand(v5, -1.41) 수준의 노이즈로 리크/버그 신호는 아님 — 가설: 이 파이프라인 베이스모델(5-fold, subsample=0.8)이 이미 충분히 안정적이라 시드배깅으로 줄일 노이즈 자체가 크지 않았을 가능성(원인 확정은 범위 밖). 결론: 기각 확정. same_hand(v5)/v9류/v11 전례와 동일 규율로 코드를 notebooks/train.ipynb, notebooks/inference.ipynb, src/script.py 어디에도 반영하지 않음(진단 스크립트 단계에서 걸러져 전체데이터 재학습/제출zip빌드/추론시간 스트레스테스트 자체가 불필요했음). README.md에 "v12" 절 + 실험이력 표 행 추가, CLAUDE.md에 기각 요약 추가, docs/seed_bag_diagnostic.py 커밋, 브랜치 push, PR 없음(머지할 코드가 없음, v9류/v11 전례와 동일 규율).
